

running FetchSlide-v1, 0 noise, 1-goal
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.47085416714350387
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.5789375027020772
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.3435625036557516
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.4633124987284343
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.5978333314259847

running FetchSlide-v1, 0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0 noise, 2-goal ratio with delta-probability
action_noise: 0.0, 	two_goal: True, 	success_rate: 0.6961041688919068
action_noise: 0.0, 	two_goal: True, 	success_rate: 0.6997291564941407
action_noise: 0.0, 	two_goal: True, 	success_rate: 0.7557083288828531

running FetchSlide-v1, 0 noise, 1-goal

running FetchSlide-v1, 0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 1-goal
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.44202082951863614
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.48966666460037234
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.35072916348775224
action_noise: 0.0, 	two_goal: False, 	success_rate: 0.35349999268849686

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability
action_noise: 0.0, 	two_goal: True, 	success_rate: 0.7287708361943562
action_noise: 0.0, 	two_goal: True, 	success_rate: 0.6166458288828534
action_noise: 0.0, 	two_goal: True, 	success_rate: 0.6608749945958456

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 1-goal

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 1-goal

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 1-goal

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 1-goal

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 1-goal

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 1-goal

running FetchSlide-v1, 0.0 noise, 2-goal ratio with delta-probability

running FetchSlide-v1, 0.0 noise, 1-goal
